conference	year	title	citationCount	
CHI	3	Navigating in a mobile XHTML application	31	81100306087: Anne Kaikkonen|81100443285: Virpi Roto|
CHI	3	Mobile computing in the retail arena	38	81100281927: Erica Newcomb|81100415136: Toni Pashley|81100573160: John Stasko|
CHI	3	Taking email to task: the design and evaluation of a task management centered email tool	122	81100464780: Victoria Bellotti|81100116901: Nicolas Ducheneaut|81100328785: Mark Howard|81452608837: Ian Smith|
CHI	3	UMEA: translating interaction histories into project contexts	81	81100567382: Victor Kaptelinin|
CHI	3	Understanding sequence and reply relationships within email conversations: a mixed-model visualization	31	81100190815: Gina Danielle Venolia|81100495977: Carman Neustaedter|
CHI	3	Using pixel rewrites for shape-rich interaction	1	81100649937: George W. Furnas|81100337837: Yan Qu|
CHI	3	The kinedit system: affective messages using dynamic texts	13	81100492013: Jodi Forlizzi|81388599173: Johnny Lee|81328488846: Scott Hudson|
CHI	3	Reflowing digital ink annotations	21	81100187010: David Bargeron|81100624219: Tomer Moscovich|
CHI	3	Strategy hubs: next-generation domain portals with search procedures	10	81100435759: Suresh K. Bhavnani|81100522024: Bichakjian K. Christopher|81336490026: Timothy M. Johnson|81100060639: Roderick J. Little|81100174065: Frederick A. Peck|81336492537: Jennifer L. Schwartz|81100169387: Victor J. Strecher|
CHI	3	Faceted metadata for image search and browsing	263	81100560074: Ka-Ping Yee|81100563089: Kirsten Swearingen|81100475948: Kevin Li|81100612246: Marti Hearst|
CHI	3	How do people manage their digital photographs?	158	81100347361: Kerry Rodden|81344500170: Kenneth R. Wood|
CHI	3	Things happening in the brain while humans learn to use new tools	3	81100273942: Yoshifumi Kitamura|81100449901: Yoshihisa Yamaguchi|81100638062: Imamizu Hiroshi|81100339162: Fumio Kishino|81452610559: Mitsuo Kawato|
CHI	3	The mad hatter's cocktail party: a social mobile audio space supporting multiple simultaneous conversations	25	81100590142: Paul M. Aoki|81100185743: Matthew Romaine|81343506379: Margaret H. Szymanski|81343506925: James D. Thornton|81100531718: Daniel Wilson|81100327302: Allison Woodruff|
CHI	3	Mobile phones for the next generation: device designs for teenagers	29	81100128576: Sara Berg|81100517358: Alex S. Taylor|81452613064: Richard Harper|
CHI	3	Wan2tlk?: everyday text messaging	51	81328488487: Rebecca Grinter|81332497353: Margery Eldridge|
CHI	3	A design tool for camera-based interaction	26	81100158845: Jerry Fails|81410595121: Dan Olsen|
CHI	3	Videography for telepresentations	12	81100018204: Yong Rui|81452611908: Anoop Gupta|81100031531: Jonathan Grudin|
CHI	3	A low-latency lip-synchronized videoconferencing system	4	81100109603: Milton Chen|
CHI	3	Multimodal 'eyes-free' interaction techniques for wearable devices	68	81100359199: Stephen Brewster|81100261006: Joanna Lumsden|81100405925: Marek Bell|81100012107: Malcolm Hall|81100367757: Stuart Tasker|
CHI	3	Halo: a technique for visualizing off-screen objects	122	81100137268: Patrick Baudisch|81100414889: Ruth Rosenholtz|
CHI	3	The bull's-eye: a framework for web application user interface design guidelines	8	81100374752: Betsy Beier|81100253714: Misha W. Vaughan|
CHI	3	Repairing usability problems identified by the cognitive walkthrough for the web	14	81100037866: Marilyn Hughes Blackmon|81100005173: Muneo Kitajima|81100564360: Peter G. Polson|
CHI	3	The bloodhound project: automating discovery of web usability issues using the InfoScent&#960; simulator	40	81100330316: Ed H. Chi|81100104467: Adam Rosien|81100205527: Gesara Supattanasiri|81100005383: Amanda Williams|81100506986: Christiaan Royer|81540376156: Celia Chow|81100038403: Erica Robles|81100457431: Brinda Dalal|81100119126: Julie Chen|81100572058: Steve Cousins|
CHI	3	Effects of head-mounted and scene-oriented video systems on remote collaboration on physical tasks	35	81100583820: Susan R. Fussell|81100057970: Leslie D. Setlock|81328489038: Robert E. Kraut|
CHI	3	GAZE-2: conveying eye contact in group video conferencing using eye-controlled camera direction	41	81100497077: Roel Vertegaal|81100290429: Ivo Weevers|81341496878: Changuk Sohn|81455605565: Chris Cheung|
CHI	3	The impact of avatar realism and eye gaze control on perceived quality of communication in a shared immersive virtual environment	54	81100051968: Maia Garau|81100615391: Mel Slater|81100355462: Vinoba Vinayagamoorthy|81100506656: Andrea Brogni|81100501447: Anthony Steed|81100499004: M. Angela Sasse|
CHI	3	iStuff: a physical user interface toolkit for ubiquitous computing environments	67	81405596165: Rafael Ballagas|81452607037: Meredith Ringel|81100388123: Maureen Stone|81100443423: Jan Borchers|
CHI	3	XWand: UI for intelligent spaces	57	81350567780: Andrew Wilson|81339527454: Steven Shafer|
CHI	3	Two worlds apart: bridging the gap between physical and virtual media for distributed design collaboration	18	81100584715: Katherine M. Everitt|81100364989: Scott R. Klemmer|81452595293: Robert Lee|81100103519: James A. Landay|
CHI	3	Exertion interfaces: sports over a distance for social bonding and fun	109	81100260236: Florian Mueller|81100392019: Stefan Agamanolis|81100496593: Rosalind Picard|
CHI	3	Where on-line meets on the streets: experiences with mobile mixed reality games	86	81100138797: Martin Flintham|81100619971: Steve Benford|81452600078: Rob Anastasi|81100617719: Terry Hemmings|81100143427: Andy Crabtree|81100557223: Chris Greenhalgh|81100616051: Nick Tandavanitj|81100312947: Matt Adams|81100463317: Ju Row-Farr|
CHI	3	Lessons from the lighthouse: collaboration in a shared mixed reality system	56	81100013375: Barry Brown|81100028343: Ian MacColl|81100086432: Matthew Chalmers|81100190450: Areti Galani|81100659202: Cliff Randell|81100501447: Anthony Steed|
CHI	3	Is seeing believing?: how recommender system interfaces affect users' opinions	83	81100288358: Dan Cosley|81451599001: Shyong K. Lam|81100448030: Istvan Albert|81100049091: Joseph A. Konstan|81100096968: John Riedl|
CHI	3	Recommending collaboration with social networks: a comparative evaluation	48	81406596787: David W. McDonald|
CHI	4	Acquiring in situ training data for context-aware ubiquitous computing applications	14	81100009538: Stephen S. Intille|81100450985: Ling Bao|81100435014: Emmanuel Munguia Tapia|81100022967: John Rondoni|
CHI	4	Analysis of combinatorial user effect in international usability tests	18	81100048163: Effie Lai-Chong Law|81100608447: Ebba Thora Hvannberg|
CHI	4	Animaatiokone: an installation for creating clay animation	2	81100307069: Perttu inen|81100574122: Mikko Lindholm|81100535232: Ari Nyknen|81100619329: Johanna ysniemi|
CHI	4	Breaking the book: translating the chemistry lab book into a pervasive computing lab environment	20	81311483103: m. c. schraefel|81100163669: Gareth V. Hughes|81100012263: Hugo R. Mills|81452616265: Graham Smith|81537370456: Terry R. Payne|81100478323: Jeremy Frey|
CHI	4	a CAPpella: programming by demonstration of context-aware applications	65	81100327371: Anind K. Dey|81100149748: Raffay Hamid|81548114764: Chris Beckmann|81100475536: Ian Li|81542414456: Daniel Hsu|
CHI	4	<i>Caretta</i>: a system for supporting face-to-face collaboration by integrating personal and shared spaces	44	81100344146: Masanori Sugimoto|81331494616: Kazuhiro Hosoi|81100071502: Hiromichi Hashizume|
CHI	4	Categorical imperative <i>NOT</i>: facial affect is perceived <i>continuously</i>	8	81100092251: Diane J. Schiano|81100368808: Sheryl M. Ehrlich|81100130516: Kyle Sheridan|
CHI	4	Cluster-based find and replace	1	81100162232: Robert C. Miller|81100280945: Alisa M. Marshall|
CHI	4	Collision warning design to mitigate driver distraction	11	81100429734: John D. Lee|81100537816: Joshua D. Hoffman|81100592584: Elizabeth Hayes|
CHI	4	Combining 2D and 3D views for orientation and relative position tasks	10	81100424672: Melanie Tory|81332516480: Torsten Moller|81350572592: M. Stella Atkins|81100325769: Arthur E. Kirkpatrick|
CHI	4	A comparison of consecutive and concurrent input text entry techniques for mobile phones	21	81100606762: Daniel Wigdor|81100503904: Ravin Balakrishnan|
CHI	4	A comparison of static, adaptive, and adaptable menus	66	81100170743: Leah Findlater|81100232506: Joanna McGrenere|
CHI	4	Computational GOMS modeling of a complex team task: lessons learned	7	81100254452: David E. Kieras|81100500153: Thomas P. Santoro|
CHI	4	Connecting time-oriented data and information to a coherent interactive visualization	23	81100497370: Ragnar Bade|81100578137: Stefan Schlechtweg|81100255622: Silvia Miksch|
CHI	4	"Constant, constant, multi-tasking craziness": managing multiple working spheres	128	81100613506: Victor M. Gonzalez|81100279599: Gloria Mark|
CHI	4	A constraint satisfaction approach to predicting skilled interactive cognition	7	81100219909: Alonso Vera|81100489674: Andrew Howes|81100329457: Michael McCurdy|81100350115: Richard L. Lewis|
CHI	4	Deception and design: the impact of communication technology on lying behavior	30	81100212035: Jeffrey T. Hancock|81100334243: Jennifer Thom-Santelli|81100458316: Thompson Ritchie|
CHI	4	Design guidelines for learner-centered handheld tools	14	81100570840: Kathleen Luchini|81100211248: Chris Quintana|81332528788: Elliot Soloway|
CHI	4	Designing a compelling user interface for morphing	0	81100196786: David Vronay|81547550356: Shuo Wang|
CHI	4	Designing the whyline: a debugging interface for asking questions about program behavior	84	81100500360: Andrew J. Ko|81100013136: Brad A. Myers|
CHI	4	Designing to support awareness: a predictive, composite model	4	81100088014: Rachid Hourizi|81100449440: Peter Johnson|
CHI	4	DiamondSpin: an extensible toolkit for around-the-table interaction	141	81100343583: Chia Shen|81100297884: Fredric D. Vernier|81100584798: Clifton Forlines|81452607037: Meredith Ringel|
CHI	4	A diary study of task switching and interruptions	141	81100280834: Mary Czerwinski|81100323543: Eric Horvitz|81100288565: Susan Wilhite|
CHI	4	Dual ecologies of robot as communication media: thoughts on coordinating orientations and projectability	12	81100072975: Hideaki Kuzuoka|81100620653: Keiichi Yamazaki|81100620449: Akiko Yamazaki|81100105767: Jun'ichi Kosaka|81100136743: Yasuko Suga|81100164455: Christian Heath|
CHI	4	Effects of instant messaging on the management of multiple project trajectories	8	81100583820: Susan R. Fussell|81100476487: Sara Kiesler|81100057970: Leslie D. Setlock|81100126432: Peter Scupelli|
CHI	4	Energy-aware user interfaces: an evaluation of user acceptance	23	81100646522: Tim Harter|81100034167: Sander Vroegindeweij|81100311217: Erik Geelhoed|81312482998: Meera Manahan|81100282144: Parthasarathy Ranganathan|
CHI	4	Examining the robustness of sensor-based statistical models of human interruptibility	53	81100142271: James Fogarty|81328488846: Scott E. Hudson|81452599499: Jennifer Lai|
CHI	4	Exploring PC-telephone convergence with the enhanced telephony prototype	8	81100025873: JJ Cadiz|81100299392: Attila Narin|81100269038: Gavin Jancke|81452611908: Anoop Gupta|81100205383: Michael Boyle|
CHI	4	The familiar stranger: anxiety, comfort, and play in public places	80	81100513321: Eric Paulos|81350578588: Elizabeth Goodman|
CHI	4	Fan-out: measuring human control of multiple robots	16	81410595121: Dan R. Olsen|81539676956: Stephen Bart Wood|
CHI	4	Feeling bumps and holes without a haptic interface: the perception of pseudo-haptic textures	30	81100289712: Anatole Lcuyer|81100178417: Jean-Marie Burkhardt|81100126583: Laurent Etienne|
CHI	4	Finding meaningful uses for context-aware technologies: the humanistic research strategy	13	81100333050: Antti Oulasvirta|
CHI	4	Flat volume control: improving usability by hiding the volume control hierarchy in the user interface	1	81100137268: Patrick Baudisch|81100291916: John Pruitt|81538558256: Steve Ball|
CHI	4	Gummi: a bendable computer	66	81100155716: Carsten Schwesig|81100593278: Ivan Poupyrev|81100500926: Eijiro Mori|
CHI	4	If not now, when?: the effects of interruption at different moments within task execution	67	81100324367: Piotr D. Adamczyk|81100615948: Brian P. Bailey|
CHI	4	IM here: public instant messaging on large, shared displays for workgroup interactions	27	81100080130: Elaine M. Huang|81100589296: Daniel M. Russell|81100265477: Alison E. Sue|
CHI	4	Impact of interruption style on end-user debugging	16	81100303456: T. J. Robertson|81100496311: Shrinu Prabhakararao|81100337865: Margaret Burnett|81452601376: Curtis Cook|81100330147: Joseph R. Ruthruff|81100022759: Laura Beckwith|81100214428: Amit Phalgune|
CHI	4	Improving speech playback using time-compression and speech recognition	12	81100014051: Sunil Vemuri|81100370425: Philip DeCamp|81100458252: Walter Bender|81100444749: Chris Schmandt|
CHI	4	I/O brush: drawing with everyday objects as ink	76	81100335135: Kimiko Ryokai|81100564488: Stefan Marti|81100363076: Hiroshi Ishii|
CHI	4	Isolating the effects of visual impairment: exploring the effect of AMD on the utility of multimodal feedback	5	81100032079: Julie A. Jacko|81100469717: Leon Barnard|81100135399: Thitima Kongnakorn|81100267268: Kevin P. Moloney|81100595586: Paula J. Edwards|81100522263: V. Kathlene Emery|81100159930: Francois Sainfort|
CHI	4	Labeling images with a computer game	407	81100069810: Luis von Ahn|81100650586: Laura Dabbish|
CHI	4	Manipulating music: multimodal interaction for DJs	22	81100164979: Timothy Beamish|81100608981: Karon Maclean|81327488395: Sidney Fels|
CHI	4	Master usability scaling: magnitude estimation and master scaling applied to usability measurement	10	81540206056: Mick McGee|
CHI	4	Model-based evaluation of cell phone menu interaction	27	81452610940: Robert St. Amant|81547892656: Thomas E. Horton|81341495549: Frank E. Ritter|
CHI	4	Model for non-expert text entry speed on 12-button phone keypads	20	81100311577: Andriy Pavlovych|81100214718: Wolfgang Stuerzlinger|
CHI	4	Mouse and touchscreen selection in the upper and lower visual fields	6	81100002187: Barry A. Po|81100550016: Brian D. Fisher|81100170154: Kellogg S. Booth|
CHI	4	Multiblending: displaying overlapping windows simultaneously without the drawbacks of alpha blending	30	81100137268: Patrick Baudisch|81100275704: Carl Gutwin|
CHI	4	One-hundred days in an activity-centric collaboration environment based on shared objects	35	81332517372: Michael J. Muller|81100543332: Werner Geyer|81100297942: Beth Brownholtz|81338491410: Eric Wilcox|81100086599: David R. Millen|
CHI	4	Off-task behavior in the cognitive tutor classroom: when students "game the system"	64	81436593472: Ryan Shaun Baker|81100192841: Albert T. Corbett|81100484653: Kenneth R. Koedinger|81100167916: Angela Z. Wagner|
CHI	4	Orchestrating a mixed reality game 'on the ground'	39	81100143427: Andy Crabtree|81100619971: Steve Benford|81100347821: Tom Rodden|81100557223: Chris Greenhalgh|81100138797: Martin Flintham|81452600078: Rob Anastasi|81100638532: Adam Drozd|81100312947: Matt Adams|81100463317: Ju Row-Farr|81100616051: Nick Tandavanitj|81100501447: Anthony Steed|
CHI	4	Papier-Mache: toolkit support for tangible input	66	81100364989: Scott R. Klemmer|81319496410: Jack Li|81471640432: James Lin|81100103519: James A. Landay|
CHI	4	The participatory design of a sound and image enhanced daily planner for people with aphasia	45	81100235288: Karyn Moffatt|81100232506: Joanna McGrenere|81100323196: Barbara Purves|81339509657: Maria Klawe|
CHI	4	The perfect search engine is not enough: a study of orienteering behavior in directed search	138	81100167805: Jaime Teevan|81550973056: Christine Alvarado|81100017207: Mark S. Ackerman|81100337812: David R. Karger|
CHI	4	Performance of menu-augmented soft keyboards	15	81100311272: Poika Isokoski|
CHI	4	Persistence matters: making the most of chat in tightly-coupled work	15	81100246470: Darren Gergle|81100086599: David R. Millen|81328489038: Robert E. Kraut|81100583820: Susan R. Fussell|
CHI	4	Physically large displays improve path integration in 3D virtual navigation tasks	21	81100255664: Desney S. Tan|81100246470: Darren Gergle|81100126432: Peter G. Scupelli|81100493478: Randy Pausch|
CHI	4	Pointing at trivariate targets in 3D environments	27	81100477897: Tovi Grossman|81100503904: Ravin Balakrishnan|
CHI	4	Predictive human performance modeling made easy	58	81100482886: Bonnie E. John|81100188366: Konstantine Prevas|81100289294: Dario D. Salvucci|81100484653: Ken Koedinger|
CHI	4	Presiding over accidents: system direction of human action	8	81100465553: Jeffrey Heer|81423596141: Nathaniel S. Good|81100563781: Ana Ramirez|81100601574: Marc Davis|81100650762: Jennifer Mankoff|
CHI	4	Privacy policies as decision-making tools: an evaluation of online privacy notices	54	81350577066: Carlos Jensen|81100305183: Colin Potts|
CHI	4	Putting the users center stage: role playing and low-fi prototyping enable end users to design mobile systems	30	81100085970: Dag Svanaes|81100514727: Gry Seland|
CHI	4	Pressure widgets	104	81100092787: Gonzalo Ramos|81100064270: Matthew Boulos|81100503904: Ravin Balakrishnan|
CHI	4	RAW: conveying minimally-mediated impressions of everyday life with an audio-photographic tool	6	81100106817: Jo&#235|81100392019: Stefan Agamanolis|81100431441: Matthew Karau|
CHI	4	Revealing delay in collaborative environments	22	81100275704: Carl Gutwin|81100619971: Steve Benford|81100456294: Jeff Dyck|81100364452: Mike Fraser|81100223814: Ivan Vaghi|81100557223: Chris Greenhalgh|
CHI	4	Robotic camera control for remote exploration	9	81100163569: Stephen Hughes|81100349943: Michael Lewis|
CHI	4	Semantic pointing: improving target acquisition with control-display ratio adaptation	106	81100594604: Renaud Blanch|81100143867: Yves Guiard|81100644686: Michel Beaudouin-Lafon|
CHI	4	Semantic speech editing	8	81100318557: Steve Whittaker|81100346993: Brian Amento|
CHI	4	Sharp or smooth?: comparing the effects of quantization vs. frame rate for streamed video	33	81100383349: John D. McCarthy|81100499004: M. Angela Sasse|81100239551: Dimitrios Miras|
CHI	4	Slash(dot) and burn: distributed moderation in a large online conversation space	62	81320491642: Cliff Lampe|81100225915: Paul Resnick|
CHI	4	Social and temporal structures in everyday collaboration	38	81309487122: Danyel Fisher|81100521529: Paul Dourish|
CHI	4	A social proxy for distributed tasks: design and evaluation of a working prototype	11	81100235869: Thomas Erickson|81406595842: Wei Huang|81100064306: Catalina Danis|81100457150: Wendy A. Kellogg|
CHI	4	A study of digital ink in lecture presentation	41	81371591530: Richard J. Anderson|81100304666: Crystal Hoyer|81100161409: Steven A. Wolfman|81350589236: Ruth Anderson|
CHI	4	Studying cooperation and conflict between authors with <i>history flow</i> visualizations	176	81100539968: Fernanda B. Vigas|81100331534: Martin Wattenberg|81100301891: Kushal Dave|
CHI	4	"Stuff goes into the computer and doesn't come out": a cross-tool study of personal information management	84	81100655637: Richard Boardman|81100499004: M. Angela Sasse|
CHI	4	A suggestive interface for image guided 3D sketching	37	81100049057: Steve Tsang|81100503904: Ravin Balakrishnan|81335497253: Karan Singh|81100330306: Abhishek Ranjan|
CHI	4	Supporting social presence through lightweight photo sharing on and off the desktop	51	81100398596: Scott Counts|81100199539: Eric Fellheimer|
CHI	4	Tapping vs. circling selections on pen-based devices: evidence for different performance-shaping factors	18	81100643154: Sachi Mizobuchi|81100007762: Michiaki Yasumura|
CHI	4	Telemurals: linking remote spaces with social catalysts	23	81100150985: Karrie Karahalios|81100223099: Judith Donath|
CHI	4	Telepresence control of the NASA/DARPA robonaut on a mobility platform	3	81100451355: S. M. Goza|81100182322: R. O. Ambrose|81100653291: M. A. Diftler|81100038478: I. M. Spain|
CHI	4	Think different: increasing online community participation using uniqueness and group dissimilarity	46	81100575572: Pamela J. Ludford|81100288358: Dan Cosley|81100071523: Dan Frankowski|81100276946: Loren Terveen|
CHI	4	TNT: a numeric keypad based text input method	23	81100643284: Magnus Ingmarsson|81100009412: David Dinka|81408591988: Shumin Zhai|
CHI	4	Topobo: a constructive assembly system with kinetic memory	109	81100381813: Hayes Solos Raffle|81100008987: Amanda J. Parkes|81100363076: Hiroshi Ishii|
CHI	4	Transcendent communication: location-based guidance for large-scale public spaces	14	81100225472: Hideyuki Nakanishi|81325488901: Satoshi Koizumi|81330492654: Toru Ishida|81321492840: Hideaki Ito|
CHI	4	Trust and mistrust of online health sites	37	81100236514: Elizabeth Sillence|81100277550: Pam Briggs|81100206925: Lesley Fishwick|81100116577: Peter Harris|
CHI	4	Twiddler typing: one-handed chording text entry for mobile phones	38	81100493601: Kent Lyons|81100175439: Thad Starner|81100050542: Daniel Plaisted|81100405512: James Fusia|81100493573: Amanda Lyons|81100093188: Aaron Drew|81100489952: E. W. Looney|
CHI	4	Ubiquitous computing for firefighters: field studies and prototypes of large displays for incident command	21	81100606322: Xiaodong Jiang|81408598366: Jason I. Hong|81100499212: Leila A. Takayama|81100103519: James A. Landay|
CHI	4	Understanding the micronote lifecycle: improving mobile support for informal note taking	21	81100221474: Min Lin|81100142970: Wayne G. Lutters|81409598196: Tina S. Kim|
CHI	4	Unintended effects: varying icon spacing changes users' visual search strategy	8	81100122064: Sarah P. Everett|81341488770: Michael D. Byrne|
CHI	4	The usability of massively multiplayer online roleplaying games: designing for new users	13	81100526368: Steve Cornett|
CHI	4	Variation in element and action: supporting simultaneous development of alternative solutions	28	81100295906: Michael Terry|81100331104: Elizabeth D. Mynatt|81100497202: Kumiyo Nakakoji|81410591776: Yasuhiro Yamamoto|
CHI	4	Virtual guiding avatar: an effective procedure to reduce simulator sickness in virtual environments	3	81471640432: James J. W. Lin|81100099317: Habib Abi-Rached|81350576893: Michal Lahav|
CHI	4	WaveLens: a new view onto Internet search results	16	81100372905: Tim Paek|81100134501: Susan Dumais|81100356745: Ron Logan|
CHI	4	What a to-do: studies of task management towards the design of a personal task list manager	65	81100464780: Victoria Bellotti|81100457431: Brinda Dalal|81423596141: Nathaniel Good|81544146256: Peter Flynn|81100435652: Daniel G. Bobrow|81100116901: Nicolas Ducheneaut|
CHI	5	Collective efficacy as a measure of community	15	81350576124: John M. Carroll|81335496622: Mary Beth Rosson|81342517609: Jingying Zhou|
CHI	5	How oversight improves member-maintained communities	28	81100288358: Dan Cosley|81100071523: Dan Frankowski|81100476487: Sara Kiesler|81100276946: Loren Terveen|81100096968: John Riedl|
CHI	5	Grounding needs: achieving common ground via lightweight chat in large, distributed, ad-hoc groups	9	81100651315: Jeremy P. Birnholtz|81100269378: Thomas A. Finholt|81100200032: Daniel B. Horn|81392591402: Sung Joo Bae|
CHI	5	Tool for accurately predicting website navigation problems, non-problems, problem severity, and effectiveness of repairs	33	81100037866: Marilyn Hughes Blackmon|81100005173: Muneo Kitajima|81100564360: Peter G. Polson|
CHI	5	Is your web page accessible?: a comparative study of methods for assessing web page accessibility for the blind	38	81100650762: Jennifer Mankoff|81100253314: Holly Fait|81100264872: Tu Tran|
CHI	5	A comparison of LSA, wordNet and PMI-IR for predicting user click behavior	8	81392593767: Ishwinder Kaur|81100426680: Anthony J. Hornof|
CHI	5	Modeling and improving selection in cascading pull-down menus using Fitts' law, the steering law and force fields	41	81100415845: David Ahlstrm|
CHI	5	Tuning and testing scrolling interfaces that automatically zoom	28	81100607754: Andy Cockburn|81100570565: Joshua Savage|81100272682: Andrew Wallace|
CHI	5	Location disclosure to social relations: why, when, & what people want to share	150	81100459425: Sunny Consolvo|81452608837: Ian E. Smith|81100545675: Tara Matthews|81100478916: Anthony LaMarca|81100413072: Jason Tabert|81416600019: Pauline Powledge|
CHI	5	Privacy and proportionality: adapting legal evaluation techniques to inform design in ubiquitous computing	20	81100415680: Giovanni Iachello|81100251687: Gregory D. Abowd|
CHI	5	Who gets to know what when: configuring privacy permissions in an awareness application	46	81100485151: Sameer Patil|81452599499: Jennifer Lai|
CHI	5	Saving and using encountered information: implications for electronic periodicals	15	81100281009: Catherine C. Marshall|81100274421: Sara Bly|
CHI	5	Documents at Hand: Learning from Paper to Improve Digital Technologies	25	81100543139: Olha Bondarenko|81320490798: Ruud Janssen|
CHI	5	Findex: search result categories help users when document ranking fails	36	81100039309: Mika Kki|
CHI	5	Use of eye movements as feedforward training for a synthetic aircraft inspection task	8	81100177881: Sajay Sadasivan|81100210715: Joel S. Greenstein|81100279634: Anand K. Gramopadhye|81100175263: Andrew T. Duchowski|
CHI	5	EyeWindows: evaluation of eye-controlled zooming windows for focus selection	28	81100268044: David Fono|81100497077: Roel Vertegaal|
CHI	5	EyeDraw: enabling children with severe motor impairments to draw with their eyes	22	81100426680: Anthony J. Hornof|81100369055: Anna Cavender|
CHI	5	Six themes of the communicative appropriation of photographic images	18	81100147309: Amy Voida|81100331104: Elizabeth D. Mynatt|
CHI	5	Making space for stories: ambiguity in the design of personal communication systems	61	81100590142: Paul M. Aoki|81100327302: Allison Woodruff|
CHI	5	Listening in: practices surrounding iTunes music sharing	58	81100147309: Amy Voida|81328488487: Rebecca E. Grinter|81100116901: Nicolas Ducheneaut|81100595699: W. Keith Edwards|81406594629: Mark W. Newman|
CHI	5	AppLens and launchTile: two designs for one-handed thumb use on small devices	41	81100168208: Amy K. Karlson|81100083927: Benjamin B. Bederson|81100631185: John SanGiovanni|
CHI	5	Alphabetically constrained keypad designs for text entry on mobile devices	18	81100009780: Jun Gong|81100048540: Peter Tarasewich|
CHI	5	Conversing with the user based on eye-gaze patterns	46	81100507433: Pernilla Qvarfordt|81408591988: Shumin Zhai|
CHI	5	Effects of task properties, partner actions, and message content on eye gaze patterns in a collaborative task	10	81100177074: Jiazhi Ou|81100059735: Lui Min Oh|81548022688: Jie Yang|81100583820: Susan R. Fussell|
CHI	5	Individual differences in multimodal integration patterns: what are they and why do they exist?	18	81100656112: Sharon Oviatt|81100062088: Rebecca Lunsford|81100413045: Rachel Coulston|
CHI	5	tranSticks: physically manipulatable virtual connections	9	81100046144: Yuji Ayatsuka|81100008564: Jun Rekimoto|
CHI	5	Discrete acceleration and personalised tiling as brain?body interface paradigms for neurorehabilitation	6	81100517821: Paul Gnanayutham|81100198998: Chris Bloor|81100175348: Gilbert Cockton|
CHI	5	Effectiveness of directional vibrotactile cuing on a building-clearing task	17	81100438849: Robert W. Lindeman|81100481379: John L. Sibert|81100366933: Erick Mendez-Mendez|81543071456: Sachin Patil|81100097264: Daniel Phifer|
CHI	5	The bubble cursor: enhancing target acquisition by dynamic resizing of the cursor's activation area	128	81100477897: Tovi Grossman|81100503904: Ravin Balakrishnan|
CHI	5	Comparing cursor orientations for mouse, pointer, and pen interaction	7	81100002187: Barry A. Po|81100550016: Brian D. Fisher|81100170154: Kellogg S. Booth|
CHI	5	Snap-and-go: helping users align objects without the modality of traditional snapping	20	81100137268: Patrick Baudisch|81100506242: Edward Cutrell|81100519448: Ken Hinckley|81100396031: Adam Eversole|
CHI	5	Towards an index of opportunity: understanding changes in mental workload during task execution	28	81343495796: Shamsi T. Iqbal|81100324367: Piotr D. Adamczyk|81100580845: Xianjun Sam Zheng|81100615948: Brian P. Bailey|
CHI	5	No task left behind?: examining the nature of fragmented work	72	81100279599: Gloria Mark|81100613506: Victor M. Gonzalez|81320490126: Justin Harris|
CHI	5	Examining task engagement in sensor-based statistical models of human interruptibility	28	81100142271: James Fogarty|81100500360: Andrew J. Ko|81100540612: Htet Htet Aung|81100340293: Elspeth Golden|81100640633: Karen P. Tang|81328488846: Scott E. Hudson|
CHI	5	Urban probes: encountering our emerging urban atmospheres	37	81100513321: Eric Paulos|81363590769: Tom Jenkins|
CHI	5	DeDe: design and evaluation of a context-enhanced mobile messaging system	21	81318489912: Younghee Jung|81100558662: Per Persson|81100402263: Jan Blom|
CHI	5	The vacuum: facilitating the manipulation of distant objects	48	81100387188: Anastasia Bezerianos|81100503904: Ravin Balakrishnan|
CHI	5	A comparison of techniques for multi-display reaching	43	81100377766: Miguel A. Nacenta|81361598222: Dzmitry Aliakseyeu|81100277483: Sriram Subramanian|81100275704: Carl Gutwin|
CHI	5	Extensible input handling in the subArctic toolkit	11	81328488846: Scott E. Hudson|81100650762: Jennifer Mankoff|81452608837: Ian Smith|
CHI	5	Comparing usability problems and redesign proposals as input to practical systems development	17	81100047223: Kasper Hornbk|81100265136: Erik|
CHI	5	A method to standardize usability metrics into a single score	35	81100263219: Jeff Sauro|81100031934: Erika Kindlund|
CHI	5	Supporting efficient development of cognitive models at multiple skill levels: exploring recent advances in constraint-based modeling	7	81100374934: Irene Tollinger|81100350115: Richard L. Lewis|81100329457: Michael McCurdy|81100374936: Preston Tollinger|81100219909: Alonso Vera|81100489674: Andrew Howes|81100023369: Laura Pelton|
CHI	5	prefuse: a toolkit for interactive information visualization	145	81100465553: Jeffrey Heer|81406592524: Stuart K. Card|81100103519: James A. Landay|
CHI	5	Visualization of mappings between schemas	27	81452612822: George G. Robertson|81100280834: Mary P. Czerwinski|81100142948: John E. Churchill|
CHI	5	Improving aviation safety with information visualization: a flight simulation study	3	81100094107: Cecilia R. Aragon|81100612246: Marti A. Hearst|
CHI	5	Design and analysis of delimiters for selection-action pen gesture phrases in scriboli	71	81100519448: Ken Hinckley|81100137268: Patrick Baudisch|81100092787: Gonzalo Ramos|81100301845: Francois Guimbretiere|
